X1.1_metaphlan	X1.2_metaphlan	X1.3_metaphlan	X1.5_metaphlan	X1.7_metaphlan	X1.8_metaphlan	X2.1_metaphlan	X2.4_metaphlan	X2.5_metaphlan	X2.6_metaphlan	X2.7_metaphlan	X2.8_metaphlan	X3.1_metaphlan	X3.2_metaphlan	X3.3_metaphlan	X3.4_metaphlan	X3.5_metaphlan	X3.6_metaphlan
Lachnospiraceae_bacterium	11247	5154	3907	6715	5166	2175	13954	12976	2185	13026	10420	6715	9128	8301	7316	10505	4153	32930
Rikenellaceae_bacterium	7093	6714	12726	4168	3233	7014	4476	8096	7190	3611	3208	5723	9457	13473	2866	4409	8969	7180
Lachnospiraceae_bacterium_10_1	7040	3732	2465	5640	7901	3787	593	856	5262	2261	7471	9301	0	0	0	0	0	0
Muribaculaceae_bacterium	7022	9312	11713	7130	5562	9778	11149	11713	7026	6880	11865	10243	7996	12265	7402	4499	9530	6588
Muribaculum_gordoncarteri	4690	6824	7377	6788	3851	9851	5589	4474	873	2242	2928	3388	276	192	0	2	128	0
Bacteroidales_bacterium	3661	3231	5409	2838	2023	3215	1039	1131	2201	1010	1517	1492	832	927	441	449	994	415
GGB27929_SGB40368	3017	4491	5307	3661	3615	6574	6829	5280	6851	4767	6143	6595	6860	9576	7258	6552	10781	3740
GGB28830_SGB41486	2607	1527	671	2141	2673	1230	0	0	233	125	0	0	57	0	817	502	19	0
GGB24132_SGB35935	2197	2361	3893	2318	911	2333	3305	1188	5560	5339	3247	3014	1544	1962	2403	2150	3591	1347
Faecalibaculum_rodentium	1592	5254	3537	3445	2292	5763	2804	3482	11170	2975	5172	3762	1791	2710	7988	1769	6488	1
GGB27792_SGB40208	1542	1608	2267	869	1721	3179	240	870	410	262	186	329	1408	1917	1062	1425	1599	722
GGB28904_SGB41597	1519	848	373	1151	1506	484	983	761	55	1202	502	189	2768	574	892	2013	191	1551
GGB28310_SGB40880	1439	521	189	879	772	106	0	0	73	0	0	0	2293	212	3	34	370	0
